"variable","var_type","var_label","row_type","label","stat_0","stat_1","stat_2","stat_3","stat_4","stat_5","stat_6","stat_7","stat_8","stat_9","stat_10","stat_11","stat_12","stat_13"
"Average price of 1GB (USD)","continuous2","Average Price (USD)","label","Average Price (USD)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Average price of 1GB (USD)","continuous2","Average Price (USD)","level","Mean (SD)","2.65 (5.23)","1.18 (1.31)","1.87 (1.16)","2.15 (1.80)","1.50 (0.77)","1.80 (3.26)","1.27 (0.93)","2.59 (3.92)","0.86 (0.31)","4.59 (1.29)","3.88 (3.61)","3.74 (10.62)","4.03 (8.63)","2.22 (2.20)"
"Average price of 1GB (USD)","continuous2","Average Price (USD)","level","Median (Q1, Q3)","1.32 (0.67, 2.62)","0.66 (0.29, 1.50)","1.26 (1.15, 3.21)","1.81 (0.80, 2.71)","1.40 (0.93, 1.95)","0.67 (0.27, 1.76)","1.03 (0.54, 1.71)","1.40 (0.76, 2.40)","0.73 (0.63, 1.28)","4.48 (3.50, 5.69)","3.03 (1.50, 6.08)","0.98 (0.45, 1.11)","1.48 (0.71, 2.72)","1.61 (0.67, 2.33)"
"Average price of 1GB (USD)","continuous2","Average Price (USD)","level","Min, Max","0.16, 43.75","0.16, 5.01","1.15, 3.21","0.22, 8.39","0.55, 2.92","0.17, 11.42","0.28, 3.12","0.44, 15.68","0.58, 1.32","3.42, 6.00","0.36, 17.24","0.20, 40.58","0.38, 43.75","0.20, 9.00"
"Cheapest 1GB for 30 days (USD)","continuous2","Cheapest Plan (USD)","label","Cheapest Plan (USD)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cheapest 1GB for 30 days (USD)","continuous2","Cheapest Plan (USD)","level","Mean (SD)","1.05 (3.27)","0.46 (0.74)","0.31 (0.34)","0.99 (0.91)","0.63 (0.53)","0.44 (0.81)","0.36 (0.37)","0.68 (0.81)","0.31 (0.15)","0.79 (0.45)","2.06 (2.81)","2.25 (7.14)","1.45 (5.45)","0.74 (1.08)"
"Cheapest 1GB for 30 days (USD)","continuous2","Cheapest Plan (USD)","level","Median (Q1, Q3)","0.38 (0.17, 0.92)","0.23 (0.07, 0.48)","0.14 (0.09, 0.71)","0.83 (0.37, 1.10)","0.50 (0.18, 1.14)","0.17 (0.11, 0.35)","0.17 (0.05, 0.87)","0.36 (0.30, 0.73)","0.26 (0.19, 0.46)","0.68 (0.49, 1.09)","1.10 (0.50, 2.14)","0.29 (0.13, 0.62)","0.46 (0.18, 0.96)","0.36 (0.19, 0.80)"
"Cheapest 1GB for 30 days (USD)","continuous2","Cheapest Plan (USD)","level","Min, Max","0.02, 38.83","0.02, 3.70","0.09, 0.71","0.09, 3.60","0.02, 1.38","0.06, 2.85","0.03, 0.96","0.02, 2.86","0.15, 0.53","0.37, 1.43","0.09, 13.09","0.03, 27.05","0.02, 38.83","0.09, 4.26"
"Most expensive 1GB (USD)","continuous2","Most Expensive Plan (USD)","label","Most Expensive Plan (USD)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Most expensive 1GB (USD)","continuous2","Most Expensive Plan (USD)","level","Mean (SD)","14.28 (20.08)","8.53 (16.86)","67.50 (49.10)","7.82 (5.88)","8.43 (7.49)","7.50 (8.63)","6.93 (5.24)","18.17 (26.80)","2.51 (0.75)","36.60 (35.14)","15.74 (15.41)","12.98 (19.96)","18.98 (25.24)","17.91 (16.14)"
"Most expensive 1GB (USD)","continuous2","Most Expensive Plan (USD)","level","Median (Q1, Q3)","7.25 (3.08, 16.21)","2.63 (1.35, 7.33)","83.05 (12.51, 106.94)","5.88 (3.47, 10.61)","5.11 (2.34, 15.70)","2.60 (0.96, 13.64)","5.22 (3.24, 9.34)","8.23 (3.24, 12.48)","2.39 (2.06, 3.22)","27.15 (9.54, 63.66)","8.35 (4.06, 24.16)","4.66 (3.25, 11.66)","8.39 (3.21, 27.24)","13.94 (7.98, 21.23)"
"Most expensive 1GB (USD)","continuous2","Most Expensive Plan (USD)","level","Min, Max","0.38, 138.19","0.41, 82.04","12.51, 106.94","1.05, 25.81","1.15, 20.00","0.38, 27.02","1.07, 19.24","2.46, 99.90","1.39, 3.66","8.75, 83.33","1.09, 53.58","1.49, 74.92","0.73, 138.19","0.97, 64.19"
"Currency","categorical","Number of Currencies","label","Number of Currencies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Currency","categorical","Number of Currencies","level","AED","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","AFN","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","ALL","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","AMD","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (9%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","ANG","3 (1%)","0 (0%)","0 (0%)","3 (10%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","AOA","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","ARS","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","AUD","6 (3%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","6 (26%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","AWG","1 (0%)","0 (0%)","0 (0%)","1 (3%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","AZN","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (9%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","BAM","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","BBD","1 (0%)","0 (0%)","0 (0%)","1 (3%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","BDT","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","BHD","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","BIF","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","BMD","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (25%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","BND","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","BOB","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","BRL","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","BSD","1 (0%)","0 (0%)","0 (0%)","1 (3%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","BTN","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","BWP","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","BYR","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (9%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","BZD","1 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (13%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","CAD","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (25%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","CDF","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","CHF","2 (1%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","2 (7%)"
"Currency","categorical","Number of Currencies","level","CLP","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","CNY","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","COP","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","CRC","1 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (13%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","CUP","1 (0%)","0 (0%)","0 (0%)","1 (3%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","CVE","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","CZK","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","DJF","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","DKK","3 (1%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (25%)","0 (0%)","0 (0%)","0 (0%)","2 (7%)"
"Currency","categorical","Number of Currencies","level","DOP","1 (0%)","0 (0%)","0 (0%)","1 (3%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","DZD","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (14%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","EGP","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (14%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","ETB","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","EUR","34 (15%)","0 (0%)","3 (100%)","5 (17%)","0 (0%)","0 (0%)","7 (47%)","1 (7%)","0 (0%)","0 (0%)","1 (4%)","1 (7%)","2 (4%)","14 (52%)"
"Currency","categorical","Number of Currencies","level","FKP","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","GBP","4 (2%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","4 (15%)"
"Currency","categorical","Number of Currencies","level","GEL","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (9%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","GHS","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","GIP","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (4%)"
"Currency","categorical","Number of Currencies","level","GMD","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","GNF","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","GTQ","1 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (13%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","GYD","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","HKD","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","HTG","1 (0%)","0 (0%)","0 (0%)","1 (3%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","HUF","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","IDR","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","ILS","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","INR","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","IQD","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","IRR","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","ISK","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (4%)"
"Currency","categorical","Number of Currencies","level","JMD","1 (0%)","0 (0%)","0 (0%)","1 (3%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","JOD","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
